ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile,Time period,regiao,id_desenvolvimento_regiao,HDI Rank,idh_2019,pib_per_capita_2019,Faixa Total
ALB,Albania,ECA,EECA,More Developed,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2018.0,Europe and Central Asia,3,69,0.7950000166893005,4549.45744148539,Até 10%
AGO,Angola,SSA,ESA,Least Developed,15.0,17.0,14.0,28.0,10.0,31.0,26.0,16.0,6.0,4.0,2016.0,Sub-Saharan Africa,1,148,0.5809999704360962,3458.65051207408,Entre 10 e 20%
ARM,Armenia,ECA,EECA,Less Developed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2016.0,Europe and Central Asia,2,81,0.7760000228881836,4350.46619774208,Até 10%
BGD,Bangladesh,SA,SA,Least Developed,13.0,8.0,18.0,13.0,12.0,19.0,15.0,11.0,11.0,7.0,2019.0,South Asia,1,133,0.6320000290870667,1603.95350085189,Entre 10 e 20%
BLZ,Belize,LAC,LAC,Less Developed,9.0,9.0,10.0,12.0,4.0,15.0,13.0,9.0,4.0,2.0,2016.0,Latin America and Caribbean,2,110,0.7160000205039978,4701.08924160946,Até 10%
BEN,Benin,SSA,WCA,Least Developed,41.0,47.0,36.0,48.0,31.0,65.0,52.0,42.0,31.0,18.0,2018.0,Sub-Saharan Africa,1,158,0.5450000166893005,1201.56138796136,Entre 40 e 50%
BWA,Botswana,SSA,ESA,Less Developed,4.0,5.0,4.0,7.0,3.0,31.0,26.0,21.0,17.0,9.0,2017.0,Sub-Saharan Africa,2,100,0.7350000143051147,7232.08756888586,Até 10%
BRA,Brazil,LAC,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2019.0,Latin America and Caribbean,2,84,0.7649999856948853,8638.29428665528,Até 10%
BDI,Burundi,SSA,ESA,Least Developed,29.0,28.0,31.0,31.0,20.0,49.0,35.0,26.0,20.0,22.0,2017.0,Sub-Saharan Africa,1,185,0.43299999833106995,278.319365394934,Entre 20 e 30%
CMR,Cameroon,SSA,WCA,Less Developed,19.0,22.0,16.0,28.0,10.0,40.0,27.0,16.0,10.0,5.0,2018.0,Sub-Saharan Africa,2,153,0.5630000233650208,1397.96491992995,Entre 10 e 20%
CHL,Chile,LAC,LAC,Less Developed,1.0,1.0,0.0,0.0,1.0,14.0,7.0,4.0,3.0,3.0,2017.0,Latin America and Caribbean,2,43,0.8510000109672546,13866.9558433589,Até 10%
CRI,Costa Rica,LAC,LAC,Less Developed,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,0.0,2018.0,Latin America and Caribbean,2,62,0.8100000023841858,12654.686519305,Até 10%
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,33.0,38.0,27.0,40.0,26.0,50.0,37.0,33.0,25.0,22.0,2016.0,Sub-Saharan Africa,2,162,0.5379999876022339,2327.74536365567,Entre 30 e 40%
ECU,Ecuador,LAC,LAC,Less Developed,6.0,5.0,7.0,8.0,5.0,14.0,7.0,4.0,3.0,3.0,2019.0,Latin America and Caribbean,2,86,0.7590000033378601,5853.81305991847,Até 10%
ETH,Ethiopia,SSA,ESA,Least Developed,31.0,31.0,30.0,33.0,22.0,48.0,40.0,28.0,24.0,20.0,2016.0,Sub-Saharan Africa,1,173,0.48500001430511475,799.795134257737,Entre 30 e 40%
GEO,Georgia,ECA,EECA,Less Developed,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2018.0,Europe and Central Asia,2,61,0.8119999766349792,4773.42330884899,Até 10%
GHA,Ghana,SSA,WCA,Less Developed,7.0,6.0,8.0,8.0,6.0,15.0,6.0,6.0,4.0,3.0,2018.0,Sub-Saharan Africa,2,138,0.6110000014305115,1974.29466586464,Até 10%
GIN,Guinea,SSA,WCA,Least Developed,46.0,54.0,38.0,62.0,26.0,72.0,59.0,57.0,39.0,20.0,2018.0,Sub-Saharan Africa,1,178,0.47699999809265137,945.769348737232,Entre 40 e 50%
